oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
48894,213420,2436,2436,25,,25,2436 25,180065.39,667961.61,6634,240,0,527-213420,34.787106,32.104307,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,,34.78710560142824,32.10430850874068
48895,213421,2436,2436,27,,27,2436 27,180060.87,667987.02,6634,242,0,527-213421,34.787057,32.104536,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,,34.78705670210449,32.10453754959367
48896,214979,3694,3694,28,ג,28ג,3694 28ג,181176.68,661285.97,6137,214,0,527-214979,34.799144,32.044146,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,,,3694,34.79914469673658,32.044147436271
48897,201273,5002,רכבת קלה קו אדום,2,,2,רכבת קלה קו אדום 2,177815.42,662893.18,7041,56,0,527-201273,34.763488,32.058525,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים א' ו- ג' 06:00 - 18:00,,,RAKEVET KALA KAV ADOM,34.763488103819554,32.0585221457895
48898,131138,579,מרים החשמונאית,14, ,14 ,מרים החשמונאית 14 ,179777.71,666672.14,6212,987,0,527-131138,34.784111,32.092669,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,ו,,MIRYAM HAHASH'MON'IT,34.784111128808384,32.092670358095965
48899,116154,4146,ששת הימים,40, ,40 ,ששת הימים 40 ,182162.96,662047.38,6129,292,0,527-116154,34.809557,32.051045,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,,,SHESHET HAYAMIM,34.80955743106974,32.051046614148746
48900,78492,390,איגר,21, ,21 ,איגר 21 ,179559.84,662812.52,9032,16,0,527-78492,34.781963,32.057857,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,א,EGER,34.78196328513073,32.0578576943815
48901,204507,2382,2382,1,א,1א,2382 1א,184579.85,670286.46,6332,116,0,527-204507,34.83485,32.125425,13/03/2026 00:44:42,"ב, ד, ו","ב, ה",בימים א' ו- ג' 06:00 - 18:00,ה,ה,,34.834849306872286,32.125421966279355
48902,215035,804,רפידים,3,א,3א,רפידים 3א,182606.6,668433.1,6646,88,0,527-215035,34.814011,32.108645,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,,,REFIDIM,34.81401013836843,32.108646143277696
48903,204261,3426,3426,5,ב,5ב,3426 5ב,178219.68,661890.32,7053,21,0,527-204261,34.767812,32.049495,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,3426,34.76781176905694,32.0494933949231
48904,196362,883,המצביאים,28,,28,המצביאים 28,184265.39,669798.87,6624,837,0,527-196362,34.831536,32.121018,13/03/2026 00:44:42,"א, ג, ה","א, ב, ד, ה, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,HAMATSBI'IM,34.83153482154867,32.1210152475966
48905,214288,920,עולי הגרדום,29,ב,29ב,עולי הגרדום 29ב,184652.85,668909.71,6638,197,0,527-214288,34.835673,32.113013,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,ב,OLEY HAGARDOM,34.83567274557195,32.11300906434878
48906,214318,4146,ששת הימים,86,א,86א,ששת הימים 86א,181779.97,662467.31,6129,1,0,527-214318,34.805485,32.054819,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,,,SHESHET HAYAMIM,34.8054857997036,32.054820785671374
48907,207980,3,נחלת בנימין,139,א,139א,נחלת בנימין 139א,178602.38,662696.6,7084,297,0,527-207980,34.771829,32.056779,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,NAHALAT BINYAMIN,34.771829648346774,32.05677811653683
48908,63927,3,נחלת בנימין,141, ,141 ,נחלת בנימין 141 ,178599.6,662678.77,7084,299,0,527-63927,34.771801,32.056618,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,,ב,NAHALAT BINYAMIN,34.77180092145096,32.05661718874175
48909,214342,2442,בתיה (לישנסקי),25,,25,בתיה (לישנסקי) 25,179880.87,669145.9,6884,4,0,527-214342,34.785102,32.11498,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,Batya,34.785101946923845,32.11498164547839
48910,136828,3224,חסידי האומות,23, ,23 ,חסידי האומות 23 ,177323.2,661151.7,7340,77,0,527-136828,34.758352,32.042804,13/03/2026 00:44:42,כל השבוע,"א, ב, ד, ו",בימים א' ו- ג' 06:00 - 18:00,,,HASIDEY HA'UMOT,34.75835210971926,32.04279968292767
48911,127754,4231,מרדור מוניה,3, ,3 ,מרדור מוניה 3 ,182082.51,661890.6,7205,64,0,527-127754,34.808711,32.049629,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ג,MARDOR MUNYA,34.80871171498613,32.04963015541622
48912,132350,804,רפידים,18, ,18 ,רפידים 18 ,182464.26,668749.52,6646,83,0,527-132350,34.81249,32.111494,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה, ו",בימים א' ו- ג' 06:00 - 18:00,,,REFIDIM,34.81248987154136,32.11149488474892
48913,128105,4887,4887,4, ,4 ,4887 4 ,181646.29,661342.58,6137,118,0,527-128105,34.804114,32.044672,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,4887,34.80411450195741,32.0446736923959
48914,128092,4884,4884,7, ,7 ,4884 7 ,181576.41,661351.34,6137,165,0,527-128092,34.803374,32.044749,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,4884,34.803374268012526,32.044750430553236
48915,214090,3384,תל גבורים,21,א,21א,תל גבורים 21א,178647.64,660203.21,6989,16,0,527-214090,34.772414,32.034296,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,TEL-GIBORIM,34.772414495982005,32.03429492949792
48916,111585,3715,קהילת קנדה,12, ,12 ,קהילת קנדה 12 ,176742.2,659981.49,7050,156,0,527-111585,34.752253,32.032231,13/03/2026 00:44:42,כל השבוע,"א, ד, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,,CANADA COMMUNITY,34.752252781453606,32.032225165811525
48917,111588,3715,קהילת קנדה,16, ,16 ,קהילת קנדה 16 ,176733.3,659926.32,7050,158,0,527-111588,34.752161,32.031734,13/03/2026 00:44:42,כל השבוע,"א, ד, ו",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,CANADA COMMUNITY,34.75216102532525,32.03172738548959
48918,214105,589,589,23,א,23א,589 23א,180937.11,666700.88,6107,293,0,527-214105,34.796392,32.092968,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,א,,,34.796391507066524,32.0929697069541
48919,116356,4150,בושם,56, ,56 ,בושם 56 ,181531.36,661316.91,6137,120,0,527-116356,34.802898,32.044437,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,,BOSEM,34.80289868381442,32.04443836125572
